id,name
580,电线电缆制造技术
8994,内燃机制造与应用技术
582,机械装备制造技术
8995,工业产品质量检测技术
577,理化测试与质检技术
9163,智能制造装备技术
9164,机电设备技术
579,电机与电器技术
591,新能源装备技术
589,制冷与空调技术
599,电梯工程技术
592,机电一体化技术
8996,智能机电技术
595,智能控制技术
8997,智能机器人技术
600,工业机器人技术
593,电气自动化技术
594,工业过程自动化技术
8998,工业自动化仪表技术
598,液压与气动技术
8999,工业互联网应用
9000,计量测试与应用技术
601,铁道机车车辆制造与维护
9001,高速铁路动车组制造与维护
9002,城市轨道交通车辆制造与维护
9003,轨道交通通信信号设备制造与维护
9004,轨道交通工程机械制造与维护
604,船舶工程技术
612,船舶动力工程技术
606,船舶电气工程技术
9005,船舶智能焊接技术
607,船舶舾装工程技术
608,船舶涂装工程技术
9006,船舶通信装备技术
609,游艇设计与制造
9007,邮轮内装技术
9008,海洋工程装备技术
9009,飞行器数字化制造技术
9010,飞行器数字化装配技术
615,航空发动机制造技术
9011,航空发动机装配调试技术
9165,飞机机载设备装配调试技术
9012,航空装备表面处理技术
614,飞行器维修技术
617,航空发动机维修技术
622,无人机应用技术
621,航空材料精密成型技术
9013,导弹维修技术
9166,汽车制造与试验技术
630,新能源汽车技术
626,汽车电子技术
9014,智能网联汽车技术
9167,汽车造型与改装技术
631,食品生物技术
633,药品生物技术
634,农业生物技术
632,化工生物技术
635,生物产品检验检疫
9015,绿色生物制造技术
9016,生物信息技术
636,应用化工技术
637,石油炼制技术
640,精细化工技术
638,石油化工技术
647,煤化工技术
639,高分子合成技术
641,海洋化工技术
9168,分析检验技术
9017,化工智能制造技术
643,化工装备技术
644,化工自动化技术
645,涂装防护技术
646,烟花爆竹技术与管理
653,化妆品技术
9018,现代造纸技术
652,家具设计与制造
656,鞋类设计与工艺
9019,陶瓷制造技术与工艺
1258,珠宝首饰技术与管理
654,皮革加工技术
655,皮具制作与工艺
657,乐器制造与维护
9020,香料香精技术与工艺
651,表面精饰工艺
659,包装工程技术
660,包装策划与设计
667,数字印刷技术
666,印刷媒体技术
9169,印刷数字图文技术
664,印刷设备应用技术
668,现代纺织技术
677,服装设计与工艺
669,丝绸技术
676,针织技术与针织服装
9021,数字化染整技术
673,纺织品设计
9022,现代家用纺织品设计
675,纺织材料与应用
9023,现代非织造技术
671,纺织机电技术
672,纺织品检验与贸易
678,皮革服装制作与工艺
9024,食品智能加工技术
9170,食品检验检测技术
681,酿酒技术
683,食品贮运与营销
688,药品生产技术
1303,生物制药技术
1305,药物制剂技术
1302,化学制药技术
689,兽药制药技术
690,药品质量与安全
691,制药设备应用技术
692,药品经营与管理
1256,食品药品监督管理
9026,智能医疗装备技术
9027,医用电子仪器技术
9028,医用材料与应用
844,医疗器械维护与管理
9029,医疗器械经营与服务
845,康复工程技术
9030,保健食品质量与管理
695,化妆品经营与管理
9031,化妆品质量与安全
9032,粮食工程技术与管理
9033,粮食储运与质量安全
701,铁道工程技术
9034,高速铁路施工与维护
9035,铁道桥梁隧道工程技术
9036,铁道养路机械应用技术
9037,铁道机车运用与维护
9038,铁道车辆技术
700,铁道供电技术
710,动车组检修技术
9039,高速铁路综合维修技术
703,铁道信号自动控制
704,铁道通信与信息化技术
705,铁道交通运营管理
9040,高速铁路客运服务
9041,道路与桥梁工程技术
9042,道路机械化施工技术
9043,智能工程机械运用技术
9044,道路工程检测技术
