" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.4""}",上海大学,76
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.3"", ""5"": ""4.4""}",哈尔滨工程大学,124
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.4"", ""5"": ""4.5""}",南方医科大学,960
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.7""}",暨南大学,106
" {""0"": ""4.2"", ""1"": ""4.3"", ""2"": ""4.2"", ""5"": ""4.2""}",中国政法大学,569
" {""0"": ""4.3"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.2""}",对外经济贸易大学,53
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",南京农业大学,113
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.3"", ""5"": ""4.5""}",中国石油大学（北京）,832
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.6""}",东北师范大学,142
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.4""}",武汉理工大学,128
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.6""}",西南交通大学,51
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.2"", ""5"": ""4.4""}",中国矿业大学,110
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.4""}",北京邮电大学,48
" {""0"": ""4.7"", ""1"": ""4.7"", ""2"": ""4.6"", ""5"": ""4.7""}",香港中文大学（深圳）,3202
" {""0"": ""4.3"", ""1"": ""4.5"", ""2"": ""4.1"", ""5"": ""4.3""}",南京师范大学,115
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.7"", ""5"": ""4.5""}",中国地质大学（武汉）,121
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.6""}",江南大学,86
" {""0"": ""4.6"", ""1"": ""4.8"", ""2"": ""4.4"", ""5"": ""4.6""}",河海大学,116
" {""0"": ""4.7"", ""1"": ""4.7"", ""2"": ""4.7"", ""5"": ""4.7""}",中国海洋大学,61
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.3""}",北京工业大学,30
" {""0"": ""4.6"", ""1"": ""4.8"", ""2"": ""4.4"", ""5"": ""4.5""}",哈尔滨医科大学,429
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.4""}",北京化工大学,556
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.7"", ""5"": ""4.5""}",西北大学,37
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.5""}",西南财经大学,101
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.7"", ""5"": ""4.5""}",中国石油大学（华东）,120
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.5""}",陕西师范大学,334
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.5""}",天津医科大学,78
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.7""}",中南财经政法大学,414
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",深圳大学,284
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.5"", ""5"": ""4.5""}",南昌大学,108
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.5""}",浙江工业大学,242
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.4""}",中国医科大学,230
" {""0"": ""4.3"", ""1"": ""4.6"", ""2"": ""4.1"", ""5"": ""4.3""}",中国地质大学（北京）,830
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",西南大学,934
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",福州大学,103
" {""0"": ""4.7"", ""1"": ""4.7"", ""2"": ""4.6"", ""5"": ""4.8""}",西北农林科技大学,332
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",华北电力大学,831
" {""0"": ""4.6"", ""1"": ""4.7"", ""2"": ""4.6"", ""5"": ""4.5""}",中国矿业大学（北京）,1006
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",东华大学,135
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.5""}",江苏大学,170
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.6""}",华南师范大学,98
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.6""}",北京外国语大学,39
" {""0"": ""4.5"", ""1"": ""4.7"", ""2"": ""4.5"", ""5"": ""4.4""}",云南大学,35
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",扬州大学,173
" {""0"": ""4.5"", ""1"": ""4.7"", ""2"": ""4.5"", ""5"": ""4.3""}",北京林业大学,43
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.3"", ""5"": ""4.5""}",中国传媒大学,558
" {""0"": ""4.3"", ""1"": ""4.4"", ""2"": ""4.2"", ""5"": ""4.2""}",北京中医药大学,49
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.4""}",合肥工业大学,63
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.6"", ""5"": ""4.4""}",宁波大学,240
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",南京工业大学,171
" {""0"": ""4.3"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.3""}",南京邮电大学,160
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",湖南师范大学,58
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.4""}",长安大学,36
" {""0"": ""4.2"", ""1"": ""4.1"", ""2"": ""4.3"", ""5"": ""4.2""}",首都师范大学,589
" {""0"": ""4.3"", ""1"": ""4.4"", ""2"": ""4.2"", ""5"": ""4.4""}",南京信息工程大学,166
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.3"", ""5"": ""4.3""}",杭州电子科技大学,159
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.6""}",湘潭大学,385
" {""0"": ""4.7"", ""1"": ""4.7"", ""2"": ""4.7"", ""5"": ""4.7""}",华南农业大学,287
" {""0"": ""4.6"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.7""}",温州医科大学,251
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.4"", ""5"": ""4.4""}",燕山大学,599
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.3""}",福建师范大学,473
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.5""}",广西大学,96
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.6""}",中国药科大学,117
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.5""}",广州大学,293
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.5""}",上海外国语大学,136
" {""0"": ""3.9"", ""1"": ""4.1"", ""2"": ""3.8"", ""5"": ""3.8""}",上海中医药大学,310
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.3""}",河南大学,459
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",大连海事大学,33
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.2"", ""5"": ""4.5""}",重庆医科大学,178
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.4""}",浙江师范大学,241
" {""0"": ""4.3"", ""1"": ""4.2"", ""2"": ""4.3"", ""5"": ""4.3""}",广东工业大学,286
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.4""}",广州医科大学,295
" {""0"": ""4.6"", ""1"": ""4.9"", ""2"": ""4.4"", ""5"": ""4.5""}",东北财经大学,229
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.5""}",上海理工大学,307
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.8""}",上海纽约大学,3039
" {""0"": ""4.3"", ""1"": ""4.4"", ""2"": ""4.3"", ""5"": ""4.1""}",山西大学,262
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.4""}",外交学院,581
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.4""}",安徽大学,67
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.6"", ""5"": ""4.4""}",中央民族大学,45
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.5""}",山东师范大学,622
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",河北工业大学,41
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.5""}",青岛大学,499
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.6""}",太原理工大学,139
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.3"", ""5"": ""4.5""}",贵州大学,935
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.5""}",南京林业大学,169
" {""0"": ""4.3"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.1""}",上海师范大学,311
" {""0"": ""4.3"", ""1"": ""4.3"", ""2"": ""4.3"", ""5"": ""4.3""}",武汉科技大学,1007
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.6""}",内蒙古大学,32
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.4""}",浙江理工大学,243
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.3""}",东北林业大学,419
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.6""}",福建农林大学,468
" {""0"": ""4.5"", ""1"": ""4.7"", ""2"": ""4.5"", ""5"": ""4.4""}",江西财经大学,175
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.3"", ""5"": ""4.5""}",宁波诺丁汉大学,1216
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",西安理工大学,349
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.4"", ""5"": ""4.4""}",海南大学,504
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.5""}",江西师范大学,174
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.5""}",东北农业大学,137
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.4""}",河北医科大学,596
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.4""}",长沙理工大学,389
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.6""}",西安建筑科技大学,351
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.3""}",湖北大学,425
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.8"", ""5"": ""4.6""}",南京中医药大学,162
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.3"", ""5"": ""4.4""}",昆明理工大学,342
" {""0"": ""4.3"", ""1"": ""4.5"", ""2"": ""4.3"", ""5"": ""4.2""}",大连医科大学,219
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",江苏师范大学,167
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.4""}",首都经济贸易大学,875
" {""0"": ""4.6"", ""1"": ""4.7"", ""2"": ""4.4"", ""5"": ""4.7""}",山东科技大学,537
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",辽宁大学,50
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",西南石油大学,268
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.7"", ""5"": ""4.5""}",杭州师范大学,252
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.4"", ""5"": ""4.4""}",河北大学,54
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.5""}",陕西科技大学,357
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.4"", ""5"": ""4.4""}",安徽师范大学,314
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.4""}",北京建筑大学,572
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.3"", ""5"": ""4.4""}",华侨大学,465
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.7"", ""5"": ""4.4""}",华东政法大学,323
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",汕头大学,283
" {""0"": ""4.0"", ""1"": ""4.0"", ""2"": ""4.0"", ""5"": ""4.1""}",新疆大学,74
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",江苏科技大学,161
